epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6475,1.99343,4.28085,1.09637,0.00725,0.0316,0.00517,0.00123,1.63652,4.05407,0.95267,0.0003125,0.0003125,0.0003125
2,28.2857,1.92596,3.33268,0.995,0.00546,0.06198,0.0027,0.00041,2.00912,4.09999,1.12519,0.000714729,0.000714729,0.000714729
3,41.5601,1.92722,2.27784,1.02295,0.00514,0.04554,0.01208,0.00199,1.92376,3.93166,1.08002,0.00110046,0.00110046,0.00110046
4,55.1816,1.97036,1.88604,1.10635,0.02515,0.20539,0.17089,0.05204,2.08454,3.24948,1.1622,0.00117575,0.00117575,0.00117575
5,69.2016,1.86455,1.74516,1.05325,0.96351,0.18123,0.18757,0.06407,1.83371,2.69087,1.03271,0.001151,0.001151,0.001151
6,82.7697,1.7951,1.55341,1.02033,0.95572,0.2026,0.1993,0.07858,1.73267,2.31867,0.99049,0.00112625,0.00112625,0.00112625
7,96.471,1.76577,1.45667,1.02221,0.95267,0.2026,0.19634,0.08017,1.83774,2.0649,1.01776,0.0011015,0.0011015,0.0011015
8,110.056,1.62457,1.36005,1.00326,0.95372,0.2119,0.2216,0.10219,1.70498,1.80743,0.98393,0.00107675,0.00107675,0.00107675
9,123.235,1.60979,1.28306,0.95856,0.95954,0.2166,0.23271,0.10905,1.57523,1.56421,0.95566,0.001052,0.001052,0.001052
10,136.701,1.59066,1.25823,0.97346,0.95939,0.21654,0.23566,0.11525,1.49792,1.48817,0.9409,0.00102725,0.00102725,0.00102725
11,150.2,1.53867,1.15551,0.96397,0.95909,0.21375,0.23188,0.11297,1.59513,1.38677,0.98625,0.0010025,0.0010025,0.0010025
12,163.432,1.58387,1.26442,0.98705,0.69408,0.22862,0.24417,0.12352,1.566,1.36228,0.98575,0.00097775,0.00097775,0.00097775
13,176.717,1.59258,1.17275,0.96725,0.69762,0.22677,0.24887,0.13359,1.48142,1.41376,0.95352,0.000953,0.000953,0.000953
14,190.925,1.49188,1.19184,0.94321,0.47093,0.32176,0.23465,0.11842,1.55912,1.39996,0.96957,0.00092825,0.00092825,0.00092825
15,204.456,1.5986,1.14345,0.96395,0.46611,0.3127,0.22759,0.10925,1.70024,1.38189,1.02501,0.0009035,0.0009035,0.0009035
16,217.842,1.51515,1.1307,0.96414,0.47122,0.29718,0.23516,0.11751,1.61581,1.42426,1.01337,0.00087875,0.00087875,0.00087875
17,231.337,1.45965,1.11933,0.944,0.46452,0.26151,0.24305,0.12518,1.42598,1.46051,0.95244,0.000854,0.000854,0.000854
18,244.658,1.48229,1.1064,0.95553,0.46343,0.26884,0.2426,0.12405,1.41976,1.39309,0.94929,0.00082925,0.00082925,0.00082925
19,258.101,1.41741,1.10753,0.94839,0.46708,0.38437,0.23575,0.11047,1.53327,1.29366,0.97975,0.0008045,0.0008045,0.0008045
20,271.35,1.51807,1.07833,0.93406,0.46374,0.4035,0.23341,0.10797,1.55963,1.2032,0.99609,0.00077975,0.00077975,0.00077975
21,284.816,1.42691,1.05458,0.94501,0.47986,0.50638,0.25524,0.12856,1.45899,1.14049,0.96958,0.000755,0.000755,0.000755
22,298.192,1.40275,1.06417,0.92341,0.47791,0.39378,0.27203,0.14728,1.38614,1.12541,0.94771,0.00073025,0.00073025,0.00073025
23,311.569,1.40668,1.03773,0.92011,0.47362,0.37991,0.26997,0.14691,1.43624,1.11901,0.96065,0.0007055,0.0007055,0.0007055
24,325.416,1.43939,1.03239,0.92366,0.47914,0.32314,0.26956,0.14866,1.42965,1.13157,0.96396,0.00068075,0.00068075,0.00068075
25,339.291,1.36954,1.05643,0.92869,0.48532,0.28468,0.27267,0.15758,1.34284,1.17004,0.94591,0.000656,0.000656,0.000656
26,353.092,1.35574,1.01349,0.92156,0.47969,0.26545,0.27282,0.15805,1.35181,1.14894,0.94633,0.00063125,0.00063125,0.00063125
27,367.04,1.36785,0.99238,0.91224,0.48768,0.31363,0.27186,0.15899,1.34443,1.07509,0.94559,0.0006065,0.0006065,0.0006065
28,380.84,1.36212,0.99864,0.91075,0.47768,0.3051,0.27312,0.16313,1.31704,1.02013,0.93653,0.00058175,0.00058175,0.00058175
29,394.63,1.43833,1.0121,0.91611,0.47951,0.3067,0.27195,0.16348,1.29633,0.9881,0.93275,0.000557,0.000557,0.000557
30,408.637,1.37892,1.01645,0.91534,0.47983,0.34516,0.27201,0.16153,1.30975,0.96636,0.93492,0.00053225,0.00053225,0.00053225
31,422.253,1.34417,1.02753,0.92102,0.4789,0.34274,0.2688,0.15047,1.41115,0.97907,0.95596,0.0005075,0.0005075,0.0005075
32,436.139,1.27849,0.94468,0.9078,0.48509,0.30391,0.27462,0.1469,1.48445,0.97731,0.97188,0.00048275,0.00048275,0.00048275
33,449.758,1.3632,0.98164,0.91931,0.49249,0.28654,0.28366,0.15771,1.40619,0.95812,0.95455,0.000458,0.000458,0.000458
34,463.768,1.34133,0.97751,0.90742,0.49193,0.26824,0.28333,0.16789,1.29425,0.95248,0.93234,0.00043325,0.00043325,0.00043325
35,477.305,1.31993,0.97173,0.91223,0.489,0.27289,0.28986,0.17659,1.24936,0.94592,0.92179,0.0004085,0.0004085,0.0004085
36,490.956,1.33695,0.94421,0.89347,0.56507,0.26824,0.31197,0.18392,1.24546,0.93715,0.92009,0.00038375,0.00038375,0.00038375
37,504.597,1.29726,0.9494,0.90047,0.82516,0.26638,0.30853,0.1775,1.26725,0.92079,0.92399,0.000359,0.000359,0.000359
38,518.177,1.2714,0.93704,0.90664,0.82926,0.26266,0.3096,0.1724,1.34071,0.911,0.93819,0.00033425,0.00033425,0.00033425
39,532.005,1.36326,0.95525,0.91258,0.83155,0.25987,0.30397,0.15774,1.4504,0.91227,0.95857,0.0003095,0.0003095,0.0003095
40,546.05,1.33866,0.94889,0.91366,0.83232,0.25722,0.29874,0.15094,1.49906,0.9285,0.96805,0.00028475,0.00028475,0.00028475
41,559.745,1.33235,1.24344,0.92939,0.84642,0.25621,0.30234,0.15922,1.4378,0.92884,0.95586,0.00026,0.00026,0.00026
42,573.276,1.25081,1.0805,0.91737,0.91638,0.25058,0.3058,0.1617,1.42113,0.92256,0.95361,0.00023525,0.00023525,0.00023525
43,586.998,1.23596,1.05127,0.92201,0.88872,0.25244,0.30646,0.16078,1.44724,0.92484,0.96068,0.0002105,0.0002105,0.0002105
44,600.55,1.24763,1.0185,0.91366,0.88012,0.25157,0.30457,0.15443,1.47655,0.9308,0.96964,0.00018575,0.00018575,0.00018575
45,614.316,1.27286,1.01952,0.90692,0.88771,0.25142,0.30325,0.15638,1.44541,0.93214,0.965,0.000161,0.000161,0.000161
46,627.846,1.22557,0.98361,0.91615,0.87693,0.25927,0.30462,0.16329,1.376,0.92593,0.95172,0.00013625,0.00013625,0.00013625
47,641.369,1.22585,0.96704,0.91549,0.44727,0.26638,0.27266,0.16278,1.34604,0.91111,0.94596,0.0001115,0.0001115,0.0001115
48,654.907,1.22287,0.98186,0.89446,0.4553,0.28561,0.2706,0.16314,1.34278,0.89631,0.94561,8.675e-05,8.675e-05,8.675e-05
49,668.495,1.22455,0.99414,0.89714,0.46718,0.32377,0.27015,0.16191,1.35285,0.88517,0.94789,6.2e-05,6.2e-05,6.2e-05
50,682.089,1.19788,0.95286,0.90871,0.47143,0.33775,0.27034,0.16141,1.36014,0.87936,0.94915,3.725e-05,3.725e-05,3.725e-05
